id,url,path
1003,services/open/cb/ipr/2.0?keyword=北京百度网讯科技有限公司,random.csv
1009,/services/open/bq/regHuman/2.0?pageSize=20&keyword=全维度测试有限责任公司&pageNum=1,建筑资质.csv
1038,/services/open/ipr/icp/3.0?keyword=22822&pageNum=1&pageSize=20,网站备案_cname.csv
1011,/services/open/bq/project/2.0?pageSize=20&keyword=全维度测试有限责任公司&pageNum=1,建筑资质.csv
455,/services/v3/open/investtree?flag=2&dir=down&keyword=%E5%90%88%E8%82%A5%E4%BC%98%E7%82%B9%E4%BF%A1%E6%81%AF%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,random.csv
1012,/services/open/bq/project/detail/2.0?businessId=5d42d1d6478d18a66bd81e57,项目详情.csv
1044,/services/open/rela/shortPath?types=ALL&depth=3&idTo=3043827609&nameTo=北京百度智行科技有限公司&idFrom=22822&nameFrom=北京百度网讯科技有限公司,
838,/services/open/ipr/tm/2.0?appDateBegin=2010-01-01&pageSize=20&tmClass=29&appDateEnd=2020-01-01&keyword=%E5%8C%97%E4%BA%AC%E7%99%BE%E5%BA%A6%E7%BD%91%E8%AE%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&pageNum=1&status=1,商标_cgid.csv
832,/services/open/cd/searchBrandAndAgency/2.0?word=百度,补录1.csv
1027,/services/open/hi/tm/2.0?keyword=%E5%8C%97%E4%BA%AC%E7%99%BE%E5%BA%A6%E7%BD%91%E8%AE%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&pageNum=1&pageSize=20,历史商标.csv
1051,/services/open/ipr/tm/detail/2.0?regNo=35834580&intCls=38-%E9%80%9A%E8%AE%AF%E6%9C%8D%E5%8A%A1,商标详情.csv
853,/services/open/stock/volatility/2.0?keyword=199557844,上市公司维度-证券信息.csv
833,/services/open/ipr/copyRegWorks/2.0?keyword=%E5%8C%97%E4%BA%AC%E7%99%BE%E5%BA%A6%E7%BD%91%E8%AE%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&pageNum=1&pageSize=20,作品著作权.csv
848,/services/open/mr/abnormal/2.0?pageSize=20&keyword=%E6%B9%96%E5%8D%97%E7%91%9E%E6%BA%90%E7%94%9F%E7%89%A9%E5%8C%BB%E8%8D%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&pageNum=1,历史经营异常.csv
943,/services/open/ps/news/2.0?name=北京百度网讯科技有限公司&pageSize=20&startTime=20191020&id=22822&endTime=20191022&pageNum=1&tags=债务抵押,补录.csv
836,/services/open/ipr/copyReg/2.0?keyword=%E5%8C%97%E4%BA%AC%E7%99%BE%E5%BA%A6%E7%BD%91%E8%AE%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&pageNum=1&pageSize=20,软件著作权.csv
995,/services/open/hi/icp/2.0?keyword=22822&pageNum=1&pageSize=20,网站历史备案_cname.csv
837,/services/open/ipr/patents/2.0?pubDateBegin=2010-01-01&appDateBegin=2010-01-01&pageSize=20&pubDateEnd=2020-01-01&appDateEnd=2020-01-01&keyword=%E5%8C%97%E4%BA%AC%E7%99%BE%E5%BA%A6%E7%BD%91%E8%AE%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&pageNum=1&patentType=1,专利.csv
998,/services/open/ic/holderChange/2.0?keyword=2318455639&pageNum=1&pageSize=20,random.csv
458,/services/v4/open/historyNames?keyword=哈尔滨市顺福成米业有限责任公司,random.csv
630,/services/v4/open/proximity?regStatus=在业&distance=10&latitude=40.05685561073758&longtitude=116.30775539540981&pageSize=10&pageNum=1,
