code,code_name,table
922,股权出质,company_equity_info
923,股权质押,stock_pledge_detail
9331,司法信息93立案公告933原告,court_register_index_std
9332,立案公告933被告,court_register_index_std
9333,立案公告933其他,court_register_index_std
9341,送达公告934原告,send_anno_index_std
9342,送达公告934被告,send_anno_index_std
9343,送达公告934其他,send_anno_index_std
9351,开庭公告935原告,court_notice_index_std
9352,开庭公告935被告,court_notice_index_std
9353,开庭公告935其他,court_notice_index_std
9361,法院公告936原告,court_announcement_index_std
9362,法院公告936被告,court_announcement_index_std
9363,法院公告936其他,court_announcement_index_std
9371,裁判文书937原告,lawsuit_index_std
9372,裁判文书937被告,lawsuit_index_std
9373,裁判文书937其他,lawsuit_index_std
938,被执行信息,zhixinginfo_index_std
9391,失信信息,dishonest_index_std
931,限制高消费,zhixinginfo_restrict
932,司法协助,company_judicial_assistance_info
9392,终本案件,finalcase_index_std
933,立案公告,court_register_index_std
934,送达公告,send_anno_index_std
935,开庭公告,court_notice_index_std
936,法院公告,court_announcement_index_std
937,裁判文书,lawsuit_index_std
1101,基本信息1注册资本11增加,company_change_info_analyze
1102,注册资本12减少,company_change_info_analyze
13,企业名称,company_change_info_analyze
14,企业类型,company_change_info_analyze
15,注册地址,company_change_info_analyze
16,登记机关,company_change_info_analyze
17,经营范围,company_change_info_analyze
18,其他变更,company_change_info_analyze
21,管理团队2法定代表人,company_change_info_analyze
22,董监高,company_change_info_analyze
23,核心团队,qimingpian_team_member
3101,股权信息3股东31更换,company_change_info_analyze
34,股权出质,company_equity_info
34,股权出质,company_equity_info
35,股权质押,stock_pledge_detail
35,股权质押,stock_pledge_detail
36,融资事件,qimingpian_history_rongzi
37,投资事件,qimingpian_jigou_tzanli
37,投资事件,qimingpian_jigou_tzanli
37,投资事件,qimingpian_jigou_tzanli
3801,分支机构38新增,company_change_info_analyze
3802,分支机构38注销/吊销,company_change_info_analyze
4911,司法信息4立案公告491原告,court_register_index_std
4912,立案公告491被告,court_register_index_std
4913,立案公告491其他,court_register_index_std
4921,送达公告492原告,send_anno_index_std
4922,送达公告492被告,send_anno_index_std
4923,送达公告492其他,send_anno_index_std
4101,开庭公告41原告,court_notice_index
4102,开庭公告41被告,court_notice_index
4103,开庭公告41其他,court_notice_index
4931,法院公告493原告,court_announcement_index_std
4932,法院公告493被告,court_announcement_index_std
4933,法院公告493其他,court_announcement_index_std
4201,裁判文书42原告,lawsuit_index
4202,裁判文书42被告,lawsuit_index
4203,裁判文书42其他,lawsuit_index
43,被执行信息,zhixinginfo
44,失信信息,dishonest_index
45,限制高消费,zhixinginfo_restrict
46,询价评估,zhixinginfo_evaluate
47,司法拍卖,jud_auction_index
48,司法协助,company_judicial_assistance_info
49,终本案件,zhixinginfo_finalcase
51,监管信息5税务评级,tax_credit
52,税收违法,tax_contra_index
53,欠税公告,company_own_tax
571,经营异常57列入,company_abnormal_info
572,经营异常57移出,company_abnormal_info
54,行政处罚,company_punishment_merge
581,严重违法58列入,company_illegal_info
582,严重违法58移出,company_illegal_info
55,环保处罚,environmental_penalties
56,抽查检查,company_check_info
59,双随机抽查,company_double_random_check_info
61,资产信息6购地信息,land_result_announcement
62,地块公示,land_publicity
63,土地转让,land_transfer
64,土地抵押,land_mortgage
691,资产交易,asset_trans_index
6501,商标信息65已注册,trademark_index
6502,商标信息65其他,trademark_index
66,专利信息,patent_index
6701,著作权信息67作品著作权,copyright_works
6702,著作权信息67软件著作权,copyright_reg_index
692,网站备案,company_icp_record_all_final
68,知识产权出质,company_ipr_pledge_reg_info_entpub
69,动产抵押,company_mortgage_info
71,经营信息7核心业务,qimingpian_product
73,行政许可,company_license_merge
74,电信许可,company_tele_communication_license
75,进出口信用,company_customs_business_credit
795,信用评级,credit_rating
76,招投标,bid_index
76,招投标,bid_index
77,公示催告,public_notice
77,公示催告,public_notice
78,债券信息,bond_index_v2
79,清算信息,company_liquidating_info
791,破产重组,company_law_bankruptcy
792,简易注销,company_brief_cancel_announcement_info
793,上市公告,company_announcement_all
794,对外担保,corp_rp_guarantee_detail_index_std_new
7961,合作伙伴796供应商,supply
7962,合作伙伴796客户,supply
941,基金管理人,qimingpian_jigou_company
942,机构成员,qimingpian_jigou_manager
943,基金管理,qimingpian_jigou_company
944,对外投资基金,qimingpian_jigou_fundtz
951,投资动态,qimingpian_jigou_tzanli
952,公开投资事件,qimingpian_jigou_tzanli
953,未公开投资,qimingpian_jigou_privatetz
952,公开投资事件,qimingpian_jigou_tzanli
943,基金管理,qimingpian_jigou_company
941,基金管理人,qimingpian_jigou_company
944,对外投资基金,qimingpian_jigou_fundtz
951,投资动态,qimingpian_jigou_tzanli
953,未公开投资,qimingpian_jigou_privatetz
942,机构成员,qimingpian_jigou_manager
